x_value,call,put,acao
2021-09-02 15:40:05,0.78,0.81,26.77
2021-09-02 15:40:08,0.78,0.81,26.77
2021-09-02 15:40:11,0.78,0.81,26.78
2021-09-02 15:40:14,0.78,0.81,26.78
2021-09-02 15:40:17,0.8,0.81,26.77
2021-09-02 15:40:20,0.79,0.8,26.79
2021-09-02 15:40:23,0.79,0.8,26.8
2021-09-02 15:40:26,0.8,0.8,26.81
2021-09-02 15:40:29,0.8,0.8,26.8
2021-09-02 15:40:32,0.8,0.8,26.8
2021-09-02 15:40:35,0.8,0.8,26.8
2021-09-02 15:40:38,0.8,0.8,26.8
2021-09-02 15:40:41,0.81,0.8,26.8
2021-09-02 15:40:44,0.81,0.8,26.8
2021-09-02 15:40:47,0.81,0.8,26.8
2021-09-02 15:40:50,0.81,0.8,26.8
2021-09-02 15:40:53,0.81,0.8,26.8
2021-09-02 15:40:56,0.81,0.8,26.81
2021-09-02 15:40:59,0.81,0.78,26.8
2021-09-02 15:41:02,0.81,0.78,26.8
2021-09-02 15:41:05,0.81,0.78,26.8
2021-09-02 15:41:08,0.81,0.79,26.81
2021-09-02 15:41:11,0.81,0.79,26.81
2021-09-02 15:41:14,0.81,0.79,26.81
2021-09-02 15:41:17,0.81,0.79,26.81
2021-09-02 15:41:20,0.81,0.79,26.81
2021-09-02 15:41:23,0.81,0.79,26.81
2021-09-02 15:41:26,0.81,0.79,26.81
2021-09-02 15:41:29,0.81,0.79,26.83
2021-09-02 15:41:32,0.81,0.79,26.82
2021-09-02 15:41:35,0.81,0.79,26.82
2021-09-02 15:41:38,0.81,0.79,26.82
2021-09-02 15:41:41,0.81,0.79,26.83
2021-09-02 15:41:44,0.81,0.79,26.83
2021-09-02 15:41:47,0.81,0.79,26.82
2021-09-02 15:41:50,0.81,0.79,26.83
2021-09-02 15:41:53,0.81,0.79,26.82
2021-09-02 15:41:56,0.82,0.79,26.85
2021-09-02 15:41:59,0.82,0.79,26.84
2021-09-02 15:42:03,0.82,0.79,26.84
2021-09-02 15:42:06,0.82,0.79,26.83
2021-09-02 15:42:09,0.82,0.79,26.82
2021-09-02 15:42:12,0.82,0.79,26.83
2021-09-02 15:42:15,0.82,0.79,26.83
2021-09-02 15:42:18,0.82,0.79,26.82
2021-09-02 15:42:21,0.82,0.79,26.83
2021-09-02 15:42:24,0.82,0.79,26.83
2021-09-02 15:42:27,0.82,0.79,26.82
2021-09-02 15:42:30,0.82,0.79,26.83
2021-09-02 15:42:33,0.82,0.79,26.84
2021-09-02 15:42:36,0.82,0.79,26.83
2021-09-02 15:42:39,0.82,0.79,26.84
2021-09-02 15:42:42,0.82,0.79,26.83
2021-09-02 15:42:45,0.82,0.79,26.84
2021-09-02 15:42:48,0.82,0.79,26.84
2021-09-02 15:42:51,0.82,0.79,26.86
2021-09-02 15:42:54,0.82,0.79,26.86
2021-09-02 15:42:57,0.83,0.77,26.85
2021-09-02 15:43:00,0.83,0.77,26.87
2021-09-02 15:43:03,0.83,0.77,26.87
2021-09-02 15:43:06,0.83,0.77,26.88
2021-09-02 15:43:09,0.83,0.77,26.86
2021-09-02 15:43:12,0.84,0.77,26.87
2021-09-02 15:43:15,0.84,0.77,26.86
2021-09-02 15:43:18,0.84,0.77,26.86
2021-09-02 15:43:21,0.84,0.77,26.86
2021-09-02 15:43:24,0.82,0.78,26.83
2021-09-02 15:43:27,0.82,0.78,26.84
2021-09-02 15:43:30,0.82,0.78,26.83
2021-09-02 15:43:33,0.82,0.79,26.83
2021-09-02 15:43:36,0.82,0.78,26.83
2021-09-02 15:43:39,0.82,0.78,26.83
2021-09-02 15:43:42,0.82,0.78,26.83
2021-09-02 15:43:45,0.82,0.78,26.83
2021-09-02 15:43:48,0.82,0.78,26.83
2021-09-02 15:43:51,0.82,0.78,26.83
2021-09-02 15:43:54,0.82,0.78,26.83
2021-09-02 15:43:57,0.82,0.78,26.83
2021-09-02 15:44:00,0.82,0.78,26.82
2021-09-02 15:44:03,0.82,0.79,26.83
2021-09-02 15:44:06,0.82,0.79,26.82
2021-09-02 15:44:09,0.82,0.79,26.82
2021-09-02 15:44:12,0.82,0.79,26.82
2021-09-02 15:44:15,0.82,0.79,26.82
2021-09-02 15:44:18,0.82,0.79,26.82
2021-09-02 15:44:21,0.82,0.79,26.82
2021-09-02 15:44:24,0.82,0.79,26.82
2021-09-02 15:44:27,0.82,0.79,26.82
2021-09-02 15:44:30,0.82,0.79,26.82
